"PK_Mechanical_ID","CK_SiteID","Blower Door Trials","Blower Door Trials_notes","First Trial: Location","First Trial: Windy","First Trial: Unusual Conditions","First Trial: P25 Ring Size","First Trial: P25 House Pressure","First Trial: P25 House Pressure_notes","First Trial: P25 Fan Pressure","First Trial: P25 Fan Pressure_notes","First Trial: P25 CFM","First Trial: P25 CFM_notes","First Trial: P50 Ring Size","First Trial: P50 House Pressure","First Trial: P50 House Pressure_notes","First Trial: P50 Fan Pressure","First Trial: P50 Fan Pressure_notes","First Trial: P50 CFM","First Trial: P50 CFM_notes","First Trial: Notes","First Trial: Flow Coefficient","First Trial: Flow Coefficient_notes","First Trial: Q50","First Trial: Q50_notes","First Trial: ACH50","Second Trial: Location","Second Trial: Windy","Second Trial: Unusual Conditions","Second Trial: P25 Ring Size","Second Trial: P25 House Pressure","Second Trial: P25 House Pressure_notes","Second Trial: P25 Fan Pressure","Second Trial: P25 Fan Pressure_notes","Second Trial: P25 CFM","Second Trial: P25 CFM_notes","Second Trial: P50 Ring Size","Second Trial: P50 House Pressure","Second Trial: P50 House Pressure_notes","Second Trial: P50 Fan Pressure","Second Trial: P50 Fan Pressure_notes","Second Trial: P50 CFM","Second Trial: P50 CFM_notes","Second Trial: Notes","Second Trial: Flow Exponent","Second Trial: Flow Exponent_notes","Second Trial: Flow Coefficient","Second Trial: Flow Coefficient_notes","Second Trial: Q50","Second Trial: Q50_Notes","Second Trial: ACH50","Conditioned Volume","Conditioned Volume_notes","Building Height","Site Location"
"Mechanical_00013036","SITE_00343",1,,"Front Door","No",,"A",25.20000,,138.40000,,2160.00000,,"0",48.80000,,40.70000,,3108.00000,,,365.48500,,3149.85000,,14.1312,,,,,,,,,,,,,,,,,,,,,,,,,,13374.00000,,"1","BOISE, ID"
"Mechanical_00013047","SITE_00356",1,,,,"Asbestos tape on ducts, no test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13615.00000,,"1","BOISE, ID"
"Mechanical_00013050","SITE_00361",1,,,,,"B",25.70000,,168.00000,,762.00000,,"A",49.00000,,38.30000,,1119.00000,,,110.26800,,1132.54000,,5.9058,,,,,,,,,,,,,,,,,,,,,,,,,,11506.00000,,"1","NAMPA, ID"
"Mechanical_00013051","SITE_00362",1,,"Front Door","No",,"A",25.20000,,46.40000,,1231.00000,,"A",51.20000,,115.00000,,1934.00000,,,157.46200,,1904.99000,,3.5247,,,,,,,,,,,,,,,,,,,,,,,,,,32428.00000,,"1","CALDWELL, ID"
"Mechanical_00013056","SITE_00367",1,,"Front","No",,"A",-24.90000,,-47.50000,,1312.00000,,"A",-50.20000,,-128.30000,,2009.00000,,"Secured dog door in garage",185.98100,,2004.13000,,3.9181,,,,,,,,,,,,,,,,,,,,,,,,,,30690.00000,,"1","EAGLE, ID"
"Mechanical_00013063","SITE_00374",2,,"Front Door","No",,"B",24.20000,,152.00000,,734.00000,,"A",49.40000,,38.00000,,1113.00000,,,114.65900,,1120.86000,,9.2176,"Front Door.","No",,"B",24.50000,,143.80000,,720.00000,,"A",48.60000,,34.30000,,1062.00000,,"Attempted test twice. Could not get a reasonable result.",0.56743,,117.24200,,1079.25000,,8.8754,7296.00000,,"1","JEROME, ID"
"Mechanical_00013064","SITE_00375",1,,"Front Door","Yes",,"B",23.90000,,235.10000,,907.00000,,"A",51.00000,,66.80000,,1489.00000,,,113.78900,,1469.84000,,5.1913,,,,,,,,,,,,,,,,,,,,,,,,,,16988.00000,,"1","TWIN FALLS, ID"
"Mechanical_00013015","SITE_00244",1,,"Front Door","No",,"A",24.10000,,83.40000,,1640.00000,,"0",50.10000,,28.00000,,2575.00000,,,230.59200,,2571.83000,,9.8424,,,,,,,,,,,,,,,,,,,,,,,,,,15678.00000,,"1","RIGBY, ID"
"Mechanical_00013016","SITE_00251",1,,,,,"A",24.80000,,74.40000,,1552.00000,,"A",50.60000,,172.20000,,2360.00000,,,235.14000,,2343.51000,,13.1781,,,,,,,,,,,,,,,,,,,,,,,,,,10670.00000,,"1","NAMPA, ID"
"Mechanical_00013017","SITE_00254",1,,"Front Door","No",,"A",-25.10000,,-67.40000,,1483.00000,,"A",-50.50000,,-172.50000,,2325.00000,,"Extremely leaky gaps and holes throughout house. One cut out gap for lamp to heat outside water pump.",186.59300,,2310.17000,,20.9412,,,,,,,,,,,,,,,,,,,,,,,,,,6619.00000,,"1","BOISE, ID"
"Mechanical_00013018","SITE_00256",1,,"Front Door","No",,"A",24.80000,,89.50000,,1750.00000,,"0",49.70000,,37.50000,,2944.00000,,,158.35900,,2957.29000,,18.0506,,,,,,,,,,,,,,,,,,,,,,,,,,9830.00000,,"1","BOISE, ID"
"Mechanical_00013020","SITE_00262",1,,"Side Door","No",,"B",24.40000,,74.90000,,537.00000,,"B",50.20000,,229.40000,,872.00000,,,62.75800,,869.66400,,5.5987,,,,,,,,,,,,,,,,,,,,,,,,,,9320.00000,,"1","MENAN, ID"
"Mechanical_00013021","SITE_00266",1,,"Front Door","Yes","Lite breeze","B",-25.00000,,-171.40000,,795.00000,,"A",-50.10000,,-46.00000,,1215.00000,,"Window ac units were taped up she worked to hard to put them in used duct mask",111.52800,,1213.52000,,7.2105,,,,,,,,,,,,,,,,,,,,,,,,,,10098.00000,,"1","POST FALLS, ID"
"Mechanical_00013037","SITE_00344",1,,"Front Door","No","Large doorway stretched canvas to its limit.","A",24.80000,,44.40000,,1224.00000,,"A",47.70000,,120.50000,,1966.00000,,,119.54200,,2034.23000,,3.0335,,,,,,,,,,,,,,,,,,,,,,,,,,40236.00000,,"2.5","IDAHO FALLS, ID"
"Mechanical_00013039","SITE_00346",1,,"Front Door","No",,"A",25.50000,,42.80000,,1201.00000,,"A",49.90000,,116.10000,,1953.00000,,,115.04600,,1955.83000,,10.0686,,,,,,,,,,,,,,,,,,,,,,,,,,11655.00000,,"1","SALMON, ID"
"Mechanical_00013043","SITE_00351",1,,"Front","Yes","Rainy","A",-25.00000,,-47.60000,,1205.00000,,"A",-49.90000,,-122.90000,,1989.00000,,,116.77100,,1991.89000,,5.1497,,,,,,,,,,,,,,,,,,,,,,,,,,23208.00000,,"1","GARDEN VALLEY, ID"
"Mechanical_00013044","SITE_00352",1,,"Back Door","No",,"A",24.60000,,43.60000,,1167.00000,,"A",49.30000,,107.40000,,1855.00000,,,137.97100,,1872.52000,,7.1928,,,,,,,,,,,,,,,,,,,,,,,,,,15620.00000,,"1","BOISE, ID"
"Mechanical_00013045","SITE_00354",1,,"Front Door","No",,"A",-25.00000,,-62.00000,,1422.00000,,"A",-49.90000,,-145.10000,,2311.00000,,,148.14000,,2314.25000,,6.0519,,,,,,,,,,,,,,,,,,,,,,,,,,22944.00000,,"1","BOISE, ID"
"Mechanical_00013046","SITE_00355",2,,"Front Door","Yes","Really windy","B",25.10000,,132.20000,,714.00000,,"A",49.70000,,34.50000,,1081.00000,,"Don't know",100.97800,,1085.34000,,5.3930,"Front Door","Yes","Really windy","B",25.10000,,116.50000,,683.00000,,"A",50.60000,,38.60000,,1067.00000,,"Numbers were all over the place",0.63632,,87.85870,,1058.93000,,5.2618,12075.00000,,"1","POCATELLO, ID"
"Mechanical_00013057","SITE_00368",1,,,"No",,"A",24.80000,,121.00000,,1970.00000,,"0",50.40000,,44.30000,,3215.00000,,,214.46000,,3197.35000,,9.1310,,,,,,,,,,,,,,,,,,,,,,,,,,21010.00000,,"1","NAMPA, ID"
"Mechanical_00013058","SITE_00368",1,,"Front","No",,"A",24.80000,,121.00000,,1970.00000,,"0",50.40000,,44.30000,,3215.00000,,,214.46000,,3197.35000,,9.1310,,,,,,,,,,,,,,,,,,,,,,,,,,21010.00000,,"1","NAMPA, ID"
"Mechanical_00013059","SITE_00369",1,,"Front","No",,"B",-25.00000,,-83.10000,,540.00000,,"B",-49.90000,,-226.60000,,890.00000,,,52.69570,,891.28900,,4.7979,,,,,,,,,,,,,,,,,,,,,,,,,,11146.00000,,"1","MOUNTAIN HOME, ID"
"Mechanical_00013061","SITE_00372",1,,"Garage Door","No","Attic door would not stay closed","A",24.00000,,94.80000,,1877.00000,,"0",51.20000,,49.50000,,3364.00000,,,162.41700,,3303.12000,,9.4510,,,,,,,,,,,,,,,,,,,,,,,,,,20970.00000,,"1.5","PRESTON, ID"
"Mechanical_00013062","SITE_00373",1,,"Front Door","No",,"A",25.00000,,29.80000,,997.00000,,"A",49.50000,,75.00000,,1573.00000,,,116.28500,,1583.59000,,5.4556,,,,,,,,,,,,,,,,,,,,,,,,,,17416.00000,,"2","CALDWELL, ID"
"Mechanical_00013067","SITE_00379",1,,"Back Door","No",,"A",24.40000,,66.90000,,1474.00000,,"A",49.00000,,198.20000,,2488.00000,,,133.91200,,2526.03000,,8.8757,,,,,,,,,,,,,,,,,,,,,,,,,,17076.00000,,"1.5","POCATELLO, ID"
"Mechanical_00013068","SITE_00380",1,,,,,,,,,,,,,,,,,,,"Homeowner on breathing apparatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13586.00000,,"1","CALDWELL, ID"
"Mechanical_00013070","SITE_00382",1,,"Front Door","No",,"A",25.50000,,31.00000,,1043.00000,,"A",50.50000,,80.40000,,1600.00000,,,137.23400,,1590.06000,,5.4924,,,,,,,,,,,,,,,,,,,,,,,,,,17370.00000,,"1","NAMPA, ID"
"Mechanical_00013071","SITE_00382",1,,"Front","No",,"A",25.50000,,31.00000,,1043.00000,,"A",50.50000,,80.40000,,1600.00000,,,137.23400,,1590.06000,,5.4924,,,,,,,,,,,,,,,,,,,,,,,,,,17370.00000,,"1","NAMPA, ID"
"Mechanical_00013076","SITE_00388",1,,"Front Door","No",,"B",-25.20000,,-180.70000,,828.00000,,"A",-50.40000,,-49.90000,,1283.00000,,"Could not locate a fresh air duct in system",107.79500,,1276.56000,,3.3405,,,,,,,,,,,,,,,,,,,,,,,,,,22929.00000,,"1","MOSCOW, ID"
"Mechanical_00013077","SITE_00389",1,,"Front Door","Yes","Slight breeze","B",-25.20000,,-299.20000,,1077.00000,,"A",-50.00000,,-76.60000,,1594.00000,,,169.94900,,1594.00000,,6.7676,,,,,,,,,,,,,,,,,,,,,,,,,,14132.00000,,"1.5","SAINT MARIES, ID"
"Mechanical_00013093","SITE_00879",1,,,,,,,,,,,,,,,,,,,"Homeowner has respiratory problem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13058.00000,,"1","HELENA, MT"
"Mechanical_00013094","SITE_00880",1,,"Front Door","No",,"A",24.60000,,205.10000,,2535.00000,,"0",49.30000,,70.60000,,4036.00000,,,297.48800,,4074.25000,,24.3870,,,,,,,,,,,,,,,,,,,,,,,,,,10024.00000,,"1.5","GREAT FALLS, MT"
"Mechanical_00013095","SITE_00881",1,,"Front Door","No",,"A",24.30000,,78.30000,,1541.00000,,"0",50.50000,,25.30000,,2484.00000,,,192.05900,,2467.92000,,16.3511,,,,,,,,,,,,,,,,,,,,,,,,,,9056.00000,,"1","BELGRADE, MT"
"Mechanical_00013096","SITE_00882",1,,"Front Door","No",,"A",25.10000,,51.10000,,1286.00000,,"0",50.30000,,17.10000,,1949.00000,,,187.09400,,1942.04000,,23.7801,,,,,,,,,,,,,,,,,,,,,,,,,,4900.00000,,"1","HELENA, MT"
"Mechanical_00013098","SITE_00887",1,,"Front Door","No","Swamp cooler installed in window for summer","A",24.90000,,27.60000,,969.00000,,"A",49.80000,,65.60000,,1451.00000,,,148.95900,,1454.39000,,8.2402,,,,,,,,,,,,,,,,,,,,,,,,,,10590.00000,,"1","THREE FORKS, MT"
"Mechanical_00013114","SITE_00909",1,,"Front Door","No",,"A",24.80000,,55.40000,,1362.00000,,"A",49.00000,,135.60000,,2057.00000,,"House was recently air sealed. Window AC was left in.",194.94500,,2082.31000,,6.7872,,,,,,,,,,,,,,,,,,,,,,,,,,18408.00000,,"1","MISSOULA, MT"
"Mechanical_00013115","SITE_00910",1,,"Addition Door",,,"A",25.10000,,131.50000,,2049.00000,,"0",49.20000,,48.20000,,3310.00000,,,206.12900,,3348.26000,,8.9129,,,,,,,,,,,,,,,,,,,,,,,,,,22540.00000,,"1","MISSOULA, MT"
"Mechanical_00013116","SITE_00911",1,,"Front Door","No",,"B",25.40000,,147.60000,,711.00000,,"A",49.90000,,34.50000,,1074.00000,,,98.57400,,1075.31000,,5.3712,,,,,,,,,,,,,,,,,,,,,,,,,,12012.00000,,"1","MANHATTAN, MT"
"Mechanical_00013117","SITE_00912",1,,,,,,,,,,,,,,,,,,,"Test not performed, windows would not fully close. Leakage is very very high.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616.00000,,"1","MISSOULA, MT"
"Mechanical_00013121","SITE_00917",1,,"Front Door","No",,"A",24.90000,,46.40000,,1242.00000,,"A",50.20000,,111.20000,,1910.00000,,"Ptac in window",172.62400,,1905.33000,,11.8441,,,,,,,,,,,,,,,,,,,,,,,,,,9652.00000,,"1","TROUT CREEK, MT"
"Mechanical_00013122","SITE_00918",1,,"Front Door","No",,"A",-25.00000,,-44.90000,,1187.00000,,"A",-50.10000,,-90.70000,,1757.00000,,,193.09800,,1755.02000,,12.3637,,,,,,,,,,,,,,,,,,,,,,,,,,8517.00000,,"1","CLINTON, MT"
"Mechanical_00013123","SITE_00919",1,,"Back Door","No",,"A",24.90000,,37.20000,,1092.00000,,"A",49.60000,,92.10000,,1711.00000,,,134.39700,,1719.98000,,15.4420,,,,,,,,,,,,,,,,,,,,,,,,,,6683.00000,,"1","HAMILTON, MT"
"Mechanical_00013079","SITE_00863",1,,"Front","No",,"A",25.50000,,26.50000,,931.00000,,"A",50.40000,,64.90000,,1463.00000,,,108.60400,,1455.29000,,12.3854,,,,,,,,,,,,,,,,,,,,,,,,,,7050.00000,,"1","BOZEMAN, MT"
"Mechanical_00013080","SITE_00865",1,,"Front","No",,"B",25.00000,,140.10000,,700.00000,,"A",50.00000,,33.50000,,1050.00000,,,106.50100,,1050.00000,,5.5896,,,,,,,,,,,,,,,,,,,,,,,,,,11271.00000,,"1","LOLO, MT"
"Mechanical_00013081","SITE_00866",1,,"Front Door","No",,"A",-25.40000,,-61.80000,,1399.00000,,"A",-49.80000,,-145.50000,,2184.00000,,,165.00800,,2189.57000,,8.9116,,,,,,,,,,,,,,,,,,,,,,,,,,14742.00000,,"1","FRENCHTOWN, MT"
"Mechanical_00013085","SITE_00870",1,,"Front","No",,"A",25.30000,,49.90000,,1279.00000,,"A",50.40000,,125.00000,,1985.00000,,,162.93200,,1974.94000,,8.4773,,,,,,,,,,,,,,,,,,,,,,,,,,13978.00000,,"1","HELENA, MT"
"Mechanical_00013086","SITE_00871",1,,"Front Door","No","PTAC unit in window","B",25.00000,,191.70000,,820.00000,,"A",49.90000,,47.00000,,1229.00000,,,124.55100,,1230.44000,,6.1862,,,,,,,,,,,,,,,,,,,,,,,,,,11934.00000,,"1","KALISPELL, MT"
"Mechanical_00013087","SITE_00873",1,,"Front Door","No",,"A",-24.90000,,-36.60000,,1074.00000,,"A",-49.90000,,-81.70000,,1604.00000,,,168.02900,,1605.85000,,13.4419,,,,,,,,,,,,,,,,,,,,,,,,,,7168.00000,,"1","MISSOULA, MT"
"Mechanical_00013102","SITE_00895",2,,"Front Door","No",,"B",-25.00000,,-247.00000,,932.00000,,"A",-50.20000,,-83.00000,,1652.00000,,,66.31190,,1646.59000,,13.7675,,,,"A",-24.90000,,-27.00000,,973.00000,,"A",-50.30000,,-67.30000,,1456.00000,,,0.57324,,154.08500,,1451.02000,,12.1322,7176.00000,,"1","MISSOULA, MT"
"Mechanical_00013103","SITE_00896",1,,"Front Door","Yes",,"B",25.60000,,80.40000,,533.00000,,"B",50.90000,,201.70000,,842.00000,,,61.62960,,832.06500,,2.4054,,,,,,,,,,,,,,,,,,,,,,,,,,20755.00000,,"1.5","HELENA, MT"
"Mechanical_00013105","SITE_00898",1,,"Front Door","No",,"A",,,,,,,"A",50.00000,,151.00000,,2194.00000,,"Pilot light went out on water heater. Too much air coming down the flu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9408.00000,,"1","GALLATIN GATEWAY, MT"
"Mechanical_00013108","SITE_00902",1,,,,,"A",25.40000,,66.60000,,1484.00000,,"A",48.20000,,180.80000,,2404.00000,,,129.88700,,2471.30000,,8.3438,,,,,,,,,,,,,,,,,,,,,,,,,,17771.00000,,"1","BELT, MT"
"Mechanical_00013131","SITE_00928",1,,"Back Door","Yes","Just a little windy","B",24.50000,,135.00000,,722.00000,,"A",50.30000,,38.80000,,1122.00000,,,101.66800,,1117.89000,,4.2235,,,,,,,,,,,,,,,,,,,,,,,,,,15881.00000,,"1","MISSOULA, MT"
"Mechanical_00013132","SITE_00929",1,,"Front Door","Yes",,"B",-25.10000,,-301.50000,,1022.00000,,"A",-50.00000,,-70.30000,,1509.00000,,,165.19600,,1509.00000,,3.6512,,,,,,,,,,,,,,,,,,,,,,,,,,24797.00000,,"1","FRENCHTOWN, MT"
"Mechanical_00013133","SITE_00930",1,,"Front Door","No",,"A",24.80000,,38.80000,,1124.00000,,"A",50.00000,,92.20000,,1695.00000,,,171.32500,,1695.00000,,11.6642,,,,,,,,,,,,,,,,,,,,,,,,,,8719.00000,,"1","MISSOULA, MT"
"Mechanical_00013134","SITE_00932",1,,"Front Door","No",,"A",-25.00000,,-33.90000,,1053.00000,,"A",-50.00000,,-82.30000,,1643.00000,,,133.41100,,1643.00000,,6.9732,,,,,,,,,,,,,,,,,,,,,,,,,,14137.00000,,"1","MISSOULA, MT"
"Mechanical_00013135","SITE_00933",1,,"Front Door","Yes","None","A",25.50000,,53.90000,,1314.00000,,"A",49.50000,,123.90000,,2020.00000,,,160.96000,,2033.20000,,7.6860,,,,,,,,,,,,,,,,,,,,,,,,,,15872.00000,,"1","POLSON, MT"
"Mechanical_00013140","SITE_00938",1,,,,,,,,,,,,,,,,,,,"Respiratory conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7969.00000,,"1","GREAT FALLS, MT"
"Mechanical_00013142","SITE_00941",1,,"Front Door.","No",,"B",25.50000,,118.50000,,650.00000,,"A",49.30000,,31.70000,,1024.00000,,,69.69660,,1034.00000,,4.5127,,,,,,,,,,,,,,,,,,,,,,,,,,13748.00000,,"1","BOZEMAN, MT"
"Mechanical_00013154","SITE_00973",1,,"Garage Door","No",,"A",25.20000,,193.60000,,2484.00000,,"0",49.70000,,69.50000,,4028.00000,,,249.85600,,4045.29000,,4.7131,,,,,,,,,,,,,,,,,,,,,,,,,,51499.00000,,"2","WHITEFISH, MT"
"Mechanical_00013124","SITE_00920",1,,,,,,,,,,,,,,,,,,,"Could not run test due to in-home oxygen usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15848.00000,,"1","HELENA, MT"
"Mechanical_00013125","SITE_00921",1,,"Front Door","Yes","None","B",25.50000,,184.30000,,801.00000,,"A",50.50000,,44.70000,,1208.00000,,,114.25900,,1200.79000,,4.8325,,,,,,,,,,,,,,,,,,,,,,,,,,14909.00000,,"1","MISSOULA, MT"
"Mechanical_00013139","SITE_00937",1,,"Front Door","No",,"B",-24.90000,,-86.60000,,555.00000,,"B",-49.90000,,-199.30000,,850.00000,,,77.29350,,851.04400,,7.2584,,,,,,,,,,,,,,,,,,,,,,,,,,7035.00000,,"1","MISSOULA, MT"
"Mechanical_00013145","SITE_00958",1,,"Garage Door","No",,"B",24.80000,,159.40000,,746.00000,,"A",49.70000,,40.00000,,1144.00000,,,103.53300,,1148.24000,,8.0938,,,,,,,,,,,,,,,,,,,,,,,,,,8512.00000,,"1","MISSOULA, MT"
"Mechanical_00013147","SITE_00963",1,,"Front Door","No","None","A",25.10000,,83.30000,,1647.00000,,"0",50.10000,,30.30000,,2698.00000,,,164.88500,,2694.15000,,6.2264,,,,,,,,,,,,,,,,,,,,,,,,,,25962.00000,,"1.5","MISSOULA, MT"
"Mechanical_00013148","SITE_00964",1,,"Front Door","No",,"A",24.60000,,75.20000,,1601.00000,,"A",49.60000,,181.60000,,2383.00000,,,260.30400,,2393.88000,,17.6021,,,,,,,,,,,,,,,,,,,,,,,,,,8160.00000,,"1","GREAT FALLS, MT"
"Mechanical_00013151","SITE_00969",1,,"Front Door",,,"B",-24.90000,,-257.40000,,981.00000,,"A",-50.20000,,-71.90000,,1527.00000,,"One basement bedroom door closed and window in that room partially open. No access allowed because son was sleeping.",128.98500,,1523.16000,,5.7229,,,,,,,,,,,,,,,,,,,,,,,,,,15969.00000,,"1.5","MISSOULA, MT"
"Mechanical_00013152","SITE_00970",1,,,,,,,,,,,,,,,,,,,"Gas boiler running and unable to turn off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14925.00000,,"2","BOZEMAN, MT"
"Mechanical_00013160","SITE_00980",1,,"Front Door","No",,"B",25.30000,,244.60000,,930.00000,,"A",50.10000,,59.90000,,1422.00000,,,124.85600,,1420.24000,,4.7494,,,,,,,,,,,,,,,,,,,,,,,,,,17942.00000,,"1","BUTTE, MT"
"Mechanical_00013161","SITE_00981",1,,"N/A",,,,,,,,,,,,,,,,,"Vermiculite present in attic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13982.00000,,"1","GREAT FALLS, MT"
"Mechanical_00013162","SITE_00982",1,,,,,,,,,,,,,,,,,,,"Unable to run blower door test - homeowner has COPD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11829.00000,,"1","BUTTE, MT"
"Mechanical_00013180","SITE_01004",1,,"Front","No",,"B",25.10000,,84.70000,,556.00000,,"B",49.90000,,240.60000,,914.00000,,,54.02570,,915.32500,,6.7768,,,,,,,,,,,,,,,,,,,,,,,,,,8104.00000,,"1.5","BOZEMAN, MT"
"Mechanical_00013182","SITE_01009",1,,,,,,,,,,,,,,,,,,,"Lung cancer survivor in home, only one lung. Decided not to run test.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6745.00000,,"1","BUTTE, MT"
"Mechanical_00013183","SITE_01010",2,,"Front","No",,"B",24.50000,,103.70000,,605.00000,,"B",50.20000,,,"Unknown",852.00000,,,131.45100,,850.37800,,3.6434,"Front","No",,"B",24.30000,,114.70000,,648.00000,,"A",49.40000,,28.70000,,964.00000,,,0.55985,,108.60300,,970.53800,,4.1583,14004.00000,,"1","BOZEMAN, MT"
"Mechanical_00013190","SITE_01020",1,,"Frony","No",,"A",25.80000,,33.00000,,1048.00000,,"A",50.80000,,70.50000,,1503.00000,,,185.82000,,1490.36000,,6.9041,,,,,,,,,,,,,,,,,,,,,,,,,,12952.00000,,"2","BOZEMAN, MT"
"Mechanical_00013191","SITE_01022",1,,"Front","No",,"B",25.10000,,149.80000,,721.00000,,"A",50.70000,,32.40000,,1056.00000,,,125.37900,,1048.06000,,7.1810,,,,,,,,,,,,,,,,,,,,,,,,,,8757.00000,,"1","BELGRADE, MT"
"Mechanical_00013193","SITE_01024",1,,"Front Door","No",,"B",25.00000,,169.00000,,773.00000,,"A",50.20000,,48.00000,,1250.00000,,,84.02640,,1246.56000,,2.7628,,,,,,,,,,,,,,,,,,,,,,,,,,27072.00000,,"1","MANHATTAN, MT"
"Mechanical_00013203","SITE_01040",1,,,,,,,,,,,,,,,,,,,"No testing, wood stove in basement is huge and full of ash, not cleanable or sealable to acceptable levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32688.00000,,"1","VICTOR, MT"
