Table Name,Column Name,Position,Data Description,Units,Sample Data,DataType,MaxLength,MSAccessDataType
Appliance_AudioEquipment.csv,Energy Star,11,Indicates whether the audio equipment is Energy Star labeled,,"Unknown; 
No; 
Yes; 
Unknown; 
No; 
Yes",varchar,255,Char
Appliance_AudioEquipment.csv,Number of Pieces of Audio Equipment,12,"Expresses the total number of pieces of audio equipment that comprise the system. For instance: A subwoofer, two floor speakers, and a sound bar that are all connected would have a value of four",,"3; 
2; 
4; 
5; 
1; 
7",decimal,9,Double
Appliance_AudioEquipment.csv,Number of Pieces of Audio Equipment_notes,13,Provides a description of the NULL values in the Number of Pieces of Audio Equipment field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_AudioEquipment.csv,Contains Suboofer,14,Indicates whether the audio equipment includes a subwoofer,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_AudioEquipment.csv,Does Subwoofer have indicator light or warm to touch,15,Indicates whether the subwoofer has an indicator light or is warm to the touch,,"N/A; 
No; 
Yes; 
Unknown; 
N/A; 
No",varchar,255,Char
Appliance_AudioEquipment.csv,Audio Wifi Enabled,16,Indicates whether the audio equipment is WiFi enabled,,"No; 
Unknown; 
Yes; 
No; 
Unknown; 
Yes",varchar,255,Char
Appliance_AudioEquipment.csv,Audio Connected to TV,17,Indicates whether the audio equipment is connected to TV,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_AudioEquipment.csv,Notes,18,Notes about the audio equipment,,"N/A; 
No label; 
Connected to computer; 
1920s stereo; 
Old turn table; 
Wifi speaker",varchar,1000,LongChar
Appliance_AudioEquipment.csv,Room Name,19,Denotes the room that the audio equipment is in,,"Lobby_1; 
Recreation_1; 
Family Room_1; 
Living Room_1; 
Office_1; 
Bedroom_1",varchar,255,Char
Appliance_AudioEquipment.csv,Room Type,20,Denotes the type of room the audio equipment is located in,,"Lobby; 
Recreation; 
Family Room; 
Living Room; 
Office; 
Bedroom",varchar,255,Char
Appliance_ClothesDryer.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00005790; 
Appliance_00005791; 
Appliance_00005792; 
Appliance_00005793; 
Appliance_00005832; 
Appliance_00005861",varchar,255,Char
Appliance_ClothesDryer.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00003; 
BLDG_00009; 
BLDG_00010; 
BLDG_00020; 
BLDG_00023; 
BLDG_00029",varchar,255,Char
Appliance_ClothesDryer.csv,CK_RoomID,3,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00006836; 
Room_00006887; 
Room_00006907; 
Room_00007025; 
Room_00007054; 
Room_00007140",varchar,255,Char
Appliance_ClothesDryer.csv,Type,4,Indicates type of dryer,,"Dryer; 
Dryer; 
Dryer; 
Dryer; 
Dryer; 
Dryer",varchar,255,Char
Appliance_ClothesDryer.csv,Year of Manufacture on Nameplate,5,Indicates if the year of manufacture is on the nameplate,,"Unknown; 
No; 
Yes; 
Unknown; 
No; 
Yes",varchar,255,Char
Appliance_ClothesDryer.csv,Vintage,6,Year of manufacture for the dryer,,"2016; 
2006; 
2002; 
2013; 
1997; 
2010",int,4,Integer
Appliance_ClothesDryer.csv,Vintage_notes,7,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_ClothesDryer.csv,Serial,8,Lists the serial number of the dryer,,"Unknown; 
M63901500; 
14036948JC; 
14113852GT; 
MM2902392; 
305KWUC9U750",varchar,255,Char
Appliance_ClothesDryer.csv,Make,9,Lists the make of the dryer,,"Maytag; 
Alliance Laundry; 
Whirlpool; 
Frigidaire; 
Kenmore; 
LG",varchar,255,Char
Appliance_ClothesDryer.csv,Model,10,Lists the model of the dryer,,"Mde21pddyw; 
Sdgbcrgs11tw02; 
DE26CS; 
CEM2760TQ0; 
MDE28PDCYW0; 
MDE16PDDYW",varchar,255,Char
Appliance_ClothesDryer.csv,Energy Star,11,Indicates whether the dryer is Energy Star labeled,,"No; 
Unknown; 
Yes; 
No; 
Unknown; 
Yes",varchar,255,Char
Appliance_ClothesDryer.csv,Primary Dryer,12,Indicates whether the dryer is the primary dryer,,"Yes; 
No; 
Unknown; 
Yes; 
No; 
Unknown",varchar,255,Char
Appliance_ClothesDryer.csv,Washer-Dryer Matched Pair,13,Indicates whether the dryer is part of a washer-dryer matched pair,,"Yes; 
Unknown; 
No; 
Yes; 
Unknown; 
No",varchar,255,Char
Appliance_ClothesDryer.csv,Dryer Fuel,14,Specifies the fuel used by the dryer,,"Electric; 
Natural Gas; 
Unknown; 
Propane; 
Electric; 
Natural Gas",varchar,255,Char
Appliance_ClothesDryer.csv,Dryer Gas Line Available,15,Indicates whether a dryer gas line is available,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_ClothesDryer.csv,Heat Pump Dryer,16,Indicates whether the dryer is a heat pump dryer,,"No; 
Unknown; 
Yes; 
No; 
Unknown; 
Yes",varchar,255,Char
Appliance_ClothesDryer.csv,Dryer Vented,17,Indicates whether the dryer is vented,,"Yes; 
Unknown; 
No; 
Yes; 
Unknown; 
No",varchar,255,Char
Appliance_ClothesDryer.csv,Wifi Enabled,18,Indicates whether the dryer is WiFi enabled,,"No; 
Unknown; 
N/A; 
Yes; 
No; 
Unknown",varchar,255,Char
Appliance_ClothesDryer.csv,Notes,19,Notes about the dryer,,"N/A; 
Coin operated common dryer; 
Coin opp; 
Dryer being used -couldn't access model serial and; 
Coin operated; 
No nameplate",varchar,1000,LongChar
Appliance_ClothesDryer.csv,Room Name,20,Denotes the room that the dryer is in,,"Laundry_1; 
Laundry_2; 
Other_1; 
Recreation_1; 
Bathroom_6; 
Hall_1",varchar,255,Char
Appliance_ClothesDryer.csv,Room Type,21,Denotes the type of room the dryer is located in,,"Laundry; 
Other; 
Recreation; 
Bathroom; 
Hall; 
Closet",varchar,255,Char
Appliance_ClothesWasher.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00021584; 
Appliance_00021585; 
Appliance_00021586; 
Appliance_00021587; 
Appliance_00021627; 
Appliance_00021659",varchar,255,Char
Appliance_ClothesWasher.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00003; 
BLDG_00009; 
BLDG_00010; 
BLDG_00020; 
BLDG_00023; 
BLDG_00029",varchar,255,Char
Appliance_ClothesWasher.csv,CK_RoomID,3,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00006836; 
Room_00006887; 
Room_00006907; 
Room_00007025; 
Room_00007054; 
Room_00007140",varchar,255,Char
Appliance_ClothesWasher.csv,Row Type,4,REMOVE,,"Washer; 
Washer; 
Washer; 
Washer; 
Washer; 
Washer",varchar,255,Char
Appliance_ClothesWasher.csv,Type,5,Indicates type of washer,,"Horizontal Axis; 
Vertical Axis (with agitator); 
Unknown; 
Vertical Axis (without agitator); 
Stacked Washer/Dryer; 
Combined Washer/Dryer in one drum",varchar,255,Char
Appliance_ClothesWasher.csv,Year of Manufacture on Nameplate,6,Indicates if the year of manufacture is on the nameplate,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Vintage,7,Year of manufacture for the washer,,"2005; 
2015; 
2011; 
2010; 
2016; 
2006",int,4,Integer
Appliance_ClothesWasher.csv,Vintage_notes,8,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Serial,9,Lists the serial number of the washer,,"23846516LL; 
1605005344; 
HL13566138; 
HL00205739; 
C63960025; 
15014255JP",varchar,255,Char
Appliance_ClothesWasher.csv,Make,10,Lists the make of the washer,,"Maytag; 
Alliance Laundry; 
Kenmore; 
LG; 
Sears; 
Amana",varchar,255,Char
Appliance_ClothesWasher.csv,Model,11,Lists the model of the washer,,"Mah21pddww; 
Swnnc2sp113tw02; 
MHN30PDAWW0; 
MAH22PDBWW0; 
MHN33PDCWW0; 
MAT12PDDAWW",varchar,255,Char
Appliance_ClothesWasher.csv,Energy Star,12,Indicates whether the washer is Energy Star labeled,,"No; 
Unknown; 
Yes; 
No; 
Unknown; 
Yes",varchar,255,Char
Appliance_ClothesWasher.csv,Washer-Dryer Matched Pair,13,Indicates whether the washer is part of a washer-dryer matched pair,,"Yes; 
Unknown; 
No; 
Yes; 
Unknown; 
No",varchar,255,Char
Appliance_ClothesWasher.csv,Washer Depth,14,Specifies the depth of the washer in inches,Inches,"19; 
17; 
20; 
13; 
16; 
11",decimal,9,Double
Appliance_ClothesWasher.csv,Washer Depth_notes,15,Provides a description of the NULL values in the Washer Depth field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Washer Diameter,16,Specifies the diameter of the washer interior in inches,Inches,"21; 
22; 
24; 
19; 
20; 
17",decimal,9,Double
Appliance_ClothesWasher.csv,Washer Diameter_notes,17,Provides a description of the NULL values in the Washer Diameter field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Washer Size,18,A numeric value describing the volume of the washer drum in cubic feet,Cubic feet,"3.8; 
3.7; 
4.4; 
3.4; 
3.1; 
2.8",decimal,9,Double
Appliance_ClothesWasher.csv,Washer Size_notes,19,Provides a description of the NULL values in the Washer Size field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Washer Primary,20,Indicates whether the washer is the primary washer,,"Yes; 
No; 
Unknown; 
Yes; 
No; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Wifi Enabled,21,Indicates whether the washer is WiFi enabled,,"No; 
Unknown; 
Yes; 
N/A; 
No; 
Unknown",varchar,255,Char
Appliance_ClothesWasher.csv,Notes,22,Notes about the washer,,"N/A; 
Coin operated common machine; 
Coin opp; 
Washer being used lid locked couldn't access for remaining info; 
No nameplate; 
Coin operated",varchar,1000,LongChar
Appliance_ClothesWasher.csv,Room Name,23,Denotes the room that the washer is in,,"Laundry_1; 
Laundry_2; 
Other_1; 
Recreation_1; 
Bathroom_6; 
Hall_1",varchar,255,Char
Appliance_ClothesWasher.csv,Room Type,24,Denotes the type of room the washer is located in,,"Laundry; 
Other; 
Recreation; 
Bathroom; 
Hall; 
Closet",varchar,255,Char
Appliance_Computer.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00002998; 
Appliance_00002884; 
Appliance_00003262; 
Appliance_00001669; 
Appliance_00001948; 
Appliance_00001949",varchar,255,Char
Appliance_Computer.csv,CK_RoomID,2,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00009677; 
Room_00017527; 
Room_00017916; 
Room_00004283; 
Room_00021469; 
Room_00021470",varchar,255,Char
Appliance_Computer.csv,CK_SiteID,3,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00113; 
BLDG_00331; 
BLDG_00369; 
BLDG_00398; 
BLDG_00462; 
BLDG_00531",varchar,255,Char
Appliance_Computer.csv,Type,4,Indicates type of computer,,"Desktop; 
Laptop; 
Desktop; 
Laptop; 
Desktop; 
Laptop",varchar,255,Char
Appliance_Computer.csv,Year of Manufacture on Nameplate,5,Indicates if the year of manufacture is on the nameplate,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_Computer.csv,Vintage,6,Year of manufacture for the computer,,"2014; 
2013; 
2016; 
2008; 
2015; 
2011",int,4,Integer
Appliance_Computer.csv,Vintage_notes,7,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_Computer.csv,Serial,8,Lists the serial number of the computer,,"Unknown; 
N/A; 
XC413830Q; 
2AU02705GR; 
ZF114647C; 
CND4161L3G",varchar,255,Char
Appliance_Computer.csv,Make,9,Lists the make of the computer,,"Unknown; 
Dell; 
HP; 
Toshiba; 
Gateway; 
Acer",varchar,255,Char
Appliance_Computer.csv,Model,10,Lists the model of the computer,,"Unknown; 
Optiplex 380; 
D08; 
Vostro; 
Inspiron 3650; 
Pavillion",varchar,255,Char
Appliance_Computer.csv,Energy Star,11,Indicates whether the computer is Energy Star labeled,,"Unknown; 
No; 
Yes; 
Unknown; 
No; 
Yes",varchar,255,Char
Appliance_Computer.csv,Computer Wifi,12,Indicates whether the computer is Wifi enabled,,"Unknown; 
Yes; 
No; 
Unknown; 
Yes; 
No",varchar,255,Char
Appliance_Computer.csv,Computer Number of Screens,13,The number of computer screens,,"1; 
3+; 
2; 
Unknown; 
1; 
3+",varchar,255,Char
Appliance_Computer.csv,Computer Primary External Monitor,14,Indicates whether the computer has a primary external monitor. Some computers - such as laptop or all-in-one computers - may have an integrated primary monitor. An external monitor is a non-integrated monitor,,"Yes; 
No; 
N/A; 
Unknown; 
Yes; 
No",varchar,255,Char
Appliance_Computer.csv,Primary Monitor Size,15,Primary monitor size (diagonal inches),Diagonal inches,"19; 
13; 
24; 
23; 
20; 
22",decimal,9,Double
Appliance_Computer.csv,Primary Monitor Size_notes,16,Provides a description of the NULL values in the Primary Monitor Size field,,"Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown; 
N/A",varchar,255,Char
Appliance_Computer.csv,Primary Monitor Type,17,Describes the primary monitor type,,"LCD; 
Unknown; 
LED LCD; 
CRT; 
N/A; 
LED",varchar,255,Char
Appliance_Computer.csv,Secondary Monitor External,18,Indicates whether the computer has a secondary external monitor,,"N/A; 
Yes; 
No; 
N/A; 
Yes; 
No",varchar,255,Char
Appliance_Computer.csv,Secondary Monitor Size,19,Secondary monitor size (diagonal inches),Diagonal inches,"27; 
21; 
23; 
24; 
34; 
26",decimal,9,Double
Appliance_Computer.csv,Secondary Monitor Size_notes,20,Provides a description of the NULL values in the Secondary Monitor Size field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Appliance_Computer.csv,Secondary Monitor Type,21,Describes the secondary monitor type,,"N/A; 
LCD; 
LED LCD; 
Unknown; 
CRT; 
N/A",varchar,255,Char
Appliance_Computer.csv,Size Of Screen 3,22,Describes the size of the third monitor,Diagonal inches,"27; 
24; 
23; 
32; 
14; 
20",int,4,Integer
Appliance_Computer.csv,Size Of Screen 3_notes,23,Provides a description of the NULL values in the Size Of Screen 3 field,,"N/A; 
N/A; 
N/A; 
N/A; 
N/A; 
N/A",varchar,255,Char
Appliance_Computer.csv,Computer Printer,24,Indicates whether the computer has a printer,,"Yes; 
Unknown; 
No; 
Yes; 
Unknown; 
No",varchar,255,Char
Appliance_Computer.csv,Computer External Drive,25,Indicates whether the computer has an external drive,,"Unknown; 
No; 
Yes; 
Unknown; 
No; 
Yes",varchar,255,Char
Appliance_Computer.csv,Computer Number of Modems Routers Switches,26,The number of modems or routers connected to the computer,,"1; 
2; 
3; 
4; 
1; 
2",int,4,Integer
Appliance_Computer.csv,Computer Number of Modems Routers Switches_notes,27,Provides a description of the NULL values in the Computer Number of Modems Routers Switches field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_Computer.csv,Computer Number of Other Accessories,28,The number of other accessories connected to the computer,,"1; 
2; 
5; 
3; 
4; 
10",int,4,Integer
Appliance_Computer.csv,Computer Number of Other Accessories_notes,29,Provides a description of the NULL values in the Computer Number of Other Accessories field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_Computer.csv,Computer Other Accessory Description,30,Description of other accessories connected to the computer,,"N/A; 
Check Scanner; 
Speakers; 
Audio; 
Keyboard Mouse; 
Speaker",varchar,255,Char
Appliance_Computer.csv,Computer In single strip,31,Describes accessories connected to the computer,,"N/A; 
Unknown; 
Check scanner; 
Speakers; 
Audio; 
Yes",varchar,255,Char
Appliance_Computer.csv,Computer Uninterruptible Power,32,Indicates the presence of an uninterruptible power supply,,"No; 
Unknown; 
Yes; 
No; 
Unknown; 
Yes",varchar,255,Char
Appliance_Computer.csv,Uninterruptible Power Size kW,33,Rated size of the uninterruptible power supply (kW),kW,"0.75; 
0.7; 
0.65; 
0.3; 
0.6; 
0.55",decimal,9,Double
Appliance_Computer.csv,Uninterruptible Power Size kW_notes,34,Provides a description of the NULL values in the Uninterruptible Power Size kW field,,"N/A; 
Unknown; 
N/A; 
Unknown; 
N/A; 
Unknown",varchar,255,Char
Appliance_Computer.csv,Notes,35,Notes about the computer,,"N/A; 
Did not feel comfortable asking building manager to let me look at features of a computer.; 
Both computers in house used about the same; 
Homeowner using computer and on the phone at time; 
Could not locate nameplate; 
Model serial info not present",varchar,1000,LongChar
Appliance_Computer.csv,Room Name,36,Denotes the room that the computer is in,,"Office_2; 
Office_1; 
Recreation_1; 
Living Room_1; 
Bedroom_1; 
Bedroom_2",varchar,255,Char
Appliance_Computer.csv,Room Type,37,Denotes the type of room the computer is located in,,"Office; 
Recreation; 
Living Room; 
Bedroom; 
Family Room; 
Dining Room",varchar,255,Char
Appliance_Dehumidifier.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00003487; 
Appliance_00003486; 
Appliance_00003500; 
Appliance_00003464; 
Appliance_00003495; 
Appliance_00003496",varchar,255,Char
Appliance_Dehumidifier.csv,CK_RoomID,2,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00007885; 
Room_00008062; 
Room_00008205; 
Room_00001293; 
Room_00011910; 
Room_00012150",varchar,255,Char
Appliance_Dehumidifier.csv,CK_SiteID,3,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"SITE_00154; 
SITE_00169; 
SITE_00178; 
SITE_00356; 
SITE_00613; 
SITE_00632",varchar,255,Char
Appliance_Dehumidifier.csv,Type,4,Indicates type of dehumidifier,,"Dehumidifier; 
Dehumidifier; 
Dehumidifier; 
Dehumidifier; 
Dehumidifier; 
Dehumidifier",varchar,255,Char
Appliance_Dehumidifier.csv,Year of Manufacture on Nameplate,5,Indicates if the year of manufacture is on the nameplate,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_Dehumidifier.csv,Vintage,6,Year of manufacture for the dehumidifier,,"2014; 
2016; 
2011; 
2015; 
2012; 
2013",int,4,Integer
Appliance_Dehumidifier.csv,Vintage_notes,7,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_Dehumidifier.csv,Serial,8,Lists the serial number of the dehumidifier,,"203TARU00654; 
Unknown; 
D205067000114508200660; 
C1619397; 
11262; 
WNX4WA0000271",varchar,255,Char
Appliance_Dehumidifier.csv,Make,9,Lists the make of the dehumidifier,,"LG; 
Whirlpool; 
Spt; 
Thermastor; 
Sharp; 
Kenmore",varchar,255,Char
Appliance_Dehumidifier.csv,Model,10,Lists the model of the dehumidifier,,"Ld451egl; 
Unknown; 
Sd-31e; 
4033600; 
Fp-n40cx; 
251.99701801",varchar,255,Char
Appliance_Dehumidifier.csv,Energy Star,11,Indicates whether the dehumidifier is Energy Star labeled,,"Yes; 
Unknown; 
No; 
Yes; 
Unknown; 
No",varchar,255,Char
Appliance_Dehumidifier.csv,Dehumidifier Capacity,12,Specifies the capacity of the dehumidifier (pints / day),Pints / Day,"45; 
30; 
70; 
40; 
50; 
48",int,4,Integer
Appliance_Dehumidifier.csv,Dehumidifier Capacity_notes,13,Provides a description of the NULL values in the Dehumidifier Capacity field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_Dehumidifier.csv,Dehumidifier Direct Plumbed,14,Indicates whether the dehumidifier is direct plumbed and drains automatically,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_Dehumidifier.csv,Notes,15,Notes about the dehumidifier,,"Not plugged in but is used sometimes; 
Could not locate nameplate; 
N/A; 
Not drained; 
Doesn't drain- 2 filters; 
No name plate",varchar,1000,LongChar
Appliance_Dehumidifier.csv,Room Name,16,Denotes the room that the dehumidifier is in,,"Laundry_1; 
Bedroom_1; 
Kitchen_1; 
Basement_2; 
Office_1; 
Hall_2",varchar,255,Char
Appliance_Dehumidifier.csv,Room Type,17,Denotes the type of room the dehumidifier is located in,,"Laundry; 
Bedroom; 
Kitchen; 
Basement; 
Office; 
Hall",varchar,255,Char
Appliance_Dishwasher.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00003742; 
Appliance_00003927; 
Appliance_00004276; 
Appliance_00004146; 
Appliance_00004277; 
Appliance_00004211",varchar,255,Char
Appliance_Dishwasher.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"BLDG_00398; 
BLDG_00462; 
SITE_00002; 
SITE_00003; 
SITE_00004; 
SITE_00005",varchar,255,Char
Appliance_Dishwasher.csv,CK_RoomID,3,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00004291; 
Room_00021475; 
Room_00006389; 
Room_00006402; 
Room_00006418; 
Room_00006424",varchar,255,Char
Appliance_Dishwasher.csv,Type,4,Indicates type of dishwasher,,"Dishwasher; 
Dishwasher; 
Dishwasher; 
Dishwasher; 
Dishwasher; 
Dishwasher",varchar,255,Char
Appliance_Dishwasher.csv,Year of Manufacture on Nameplate,5,Indicates if the year of manufacture is on the nameplate,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_Dishwasher.csv,Vintage,6,Year of manufacture for the dishwasher,,"2006; 
2014; 
2011; 
2015; 
2004; 
2005",int,4,Integer
Appliance_Dishwasher.csv,Vintage_notes,7,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_Dishwasher.csv,Serial,8,Lists the serial number of the dishwasher,,"ZH753589B; 
ZD704661B; 
F44218287; 
TH10139254; 
TH51381343; 
FR5104122",varchar,255,Char
Appliance_Dishwasher.csv,Make,9,Lists the make of the dishwasher,,"General Electric; 
KitchenAid; 
Frigidaire; 
Kenmore; 
Whirlpool; 
Amana",varchar,255,Char
Appliance_Dishwasher.csv,Model,10,Lists the model of the dishwasher,,"Gsd2000j01ww; 
GSD3300D35WW; 
KDFE304DSS0; 
LFBD2409LB0A; 
FFBD2406NS6A; 
665.170594",varchar,255,Char
Appliance_Dishwasher.csv,Energy Star,11,Indicates whether the dishwasher is Energy Star labeled,,"Unknown; 
Yes; 
No; 
Unknown; 
Yes; 
No",varchar,255,Char
Appliance_Dishwasher.csv,Notes,12,Notes about the dishwasher,,"N/A; 
No name plate; 
Not in use; 
Kitchen-Aid; 
Not functioning; 
No nameplate. GE Triton XL",varchar,1000,LongChar
Appliance_Dishwasher.csv,Room Name,13,Denotes the room that the dishwasher is in,,"Recreation_1; 
Other_3; 
Kitchen_1; 
Unknown; 
Living Room_1; 
Kitchen_2",varchar,255,Char
Appliance_Dishwasher.csv,Room Type,14,Denotes the type of room the dishwasher is located in,,"Recreation; 
Other; 
Kitchen; 
Living Room; 
Dining Room; 
Bedroom",varchar,255,Char
Appliance_GameConsole.csv,PK_ApplianceID,1,Appliance ID key. Each appliance has a unique value. ,,"Appliance_00007167; 
Appliance_00007378; 
Appliance_00022792; 
Appliance_00022793; 
Appliance_00022794; 
Appliance_00022795",varchar,255,Char
Appliance_GameConsole.csv,CK_SiteID,2,Site ID key. Each site has a unique value. This key can be used to map to other datasets,,"SITE_00004; 
SITE_00015; 
SITE_00016; 
SITE_00017; 
SITE_00018; 
SITE_00026",varchar,255,Char
Appliance_GameConsole.csv,CK_RoomID,3,Room ID key. Each room has a unique value. This key can be used to map to other datasets,,"Room_00006410; 
Room_00006532; 
Room_00025841; 
Room_00025842; 
Room_00006552; 
Room_00006549",varchar,255,Char
Appliance_GameConsole.csv,Type,4,Indicates type of game system,,"Game Console; 
Game Console; 
Game Console; 
Game Console; 
Game Console; 
Game Console",varchar,255,Char
Appliance_GameConsole.csv,Year of Manufacture on Nameplate,5,Indicates if the year of manufacture is on the nameplate,,"No; 
Yes; 
Unknown; 
No; 
Yes; 
Unknown",varchar,255,Char
Appliance_GameConsole.csv,Vintage,6,Year of manufacture for the game system,,"2013; 
2012; 
2017; 
2010; 
2008; 
2011",int,4,Integer
Appliance_GameConsole.csv,Vintage_notes,7,Provides a description of the NULL values in the Vintage field,,"Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown; 
Unknown",varchar,255,Char
Appliance_GameConsole.csv,Serial,8,Lists the serial number of the game system,,"Unknown; 
MB0787209237; 
N/A; 
LU152330062; 
FU6404114; 
LU72529435",varchar,255,Char
Appliance_GameConsole.csv,Make,9,Lists the make of the game system,,"Sony; 
Nintendo; 
Microsoft; 
Sega; 
Unknown; 
Hyperkin",varchar,255,Char
Appliance_GameConsole.csv,Model,10,Lists the model of the game system,,"Unknown; 
Wii; 
cuh-1001a; 
rcpm/1410-0292; 
Rvl-001; 
1439",varchar,255,Char
Appliance_GameConsole.csv,Energy Star,11,Indicates whether the game system is Energy Star labeled,,"No; 
Unknown; 
Yes; 
No; 
Unknown; 
Yes",varchar,255,Char
