node,class,bustype,busflags,group_id,parent,from,to,load,lat,long,length,height
node_3,node,PQ,HASSOURCE,nodevolts,,,,,35.384600,-119.002200,,
line3to4,overhead_line,,,,,node_3,load_4,,35.384325,-119.002200,200.0,
load_4,load,PQ,HASSOURCE,area_A,,,,,35.384050,-119.002200,,
meter_7,triplex_meter,PQ,,load_4,node_4C,,,0.0,35.384050,-119.002200,,
meter_8,triplex_meter,PQ,,load_4,node_4C,,,0.0,35.384050,-119.002200,,
meter_9,triplex_meter,PQ,,load_4,node_4C,,,0.0,35.384050,-119.002200,,
meter_10,triplex_meter,PQ,,load_4,node_4C,,,0.0,35.384050,-119.002200,,
node_4C,triplex_node,PQ,,,,,,,,,,
line3to5,overhead_line,,,,,node_3,load_5,,35.384600,-119.001650,325.0,
load_5,load,PQ,HASSOURCE,area_A,,,,,35.384600,-119.001100,,
meter_11,triplex_meter,PQ,,load_5,node_5C,,,0.0,35.384600,-119.001100,,
meter_12,triplex_meter,PQ,,load_5,node_5C,,,0.0,35.384600,-119.001100,,
line5to6,overhead_line,,,,,load_5,load_6,,35.384600,-119.000683,250.0,
load_6,load,PQ,HASSOURCE,area_A,,,,,35.384600,-119.000267,,
meter_13,triplex_meter,PQ,,load_6,node_6C,,,0.0,35.384600,-119.000267,,
meter_14,triplex_meter,PQ,,load_6,node_6C,,,0.0,35.384600,-119.000267,,
meter_15,triplex_meter,PQ,,load_6,node_6C,,,0.0,35.384600,-119.000267,,
meter_16,triplex_meter,PQ,,load_6,node_6C,,,0.0,35.384600,-119.000267,,
node_6C,triplex_node,PQ,,,,,,,,,,
node_5C,triplex_node,PQ,,,,,,,,,,
line1to7,overhead_line,,,,,load_1,load_7,,35.385283,-119.001692,300.0,
load_7,load,PQ,HASSOURCE,area_A,,,,,35.385283,-119.001183,,
meter_17,triplex_meter,PQ,,load_7,node_7A,,,0.0,35.385283,-119.001183,,
meter_18,triplex_meter,PQ,,load_7,node_7A,,,0.0,35.385283,-119.001183,,
line7to8,overhead_line,,,,,load_7,node_8,,35.385283,-119.000850,200.0,
node_8,node,PQ,HASSOURCE,nodevolts,,,,,35.385283,-119.000517,,
line8to12,overhead_line,,,,,node_8,load_12,,35.384975,-119.000517,225.0,
load_12,load,PQ,HASSOURCE,area_A,,,,,35.384667,-119.000517,,
meter_29,triplex_meter,PQ,,load_12,node_12B,,,0.0,35.384667,-119.000517,,
meter_30,triplex_meter,PQ,,load_12,node_12B,,,0.0,35.384667,-119.000517,,
node_12B,triplex_node,PQ,,,,,,,,,,
line8to9,overhead_line,,,,,node_8,load_9,,35.385592,-119.000517,225.0,
load_9,load,PQ,HASSOURCE,area_A,,,,,35.385900,-119.000517,,
meter_19,triplex_meter,PQ,,load_9,node_9A,,,0.0,35.385900,-119.000517,,
meter_20,triplex_meter,PQ,,load_9,node_9A,,,0.0,35.385900,-119.000517,,
meter_21,triplex_meter,PQ,,load_9,node_9A,,,0.0,35.385900,-119.000517,,
meter_22,triplex_meter,PQ,,load_9,node_9A,,,0.0,35.385900,-119.000517,,
node_901,node,PQ,HASSOURCE,nodevolts,,,,,35.385900,-119.000517,,
line901to14,overhead_line,,,,,node_901,node_14,,35.386483,-119.000517,425.0,
node_14,substation,SWING,HASSOURCE,nodevolts,,,,,35.387067,-119.000517,,
substation_meter,meter,PQ,HASSOURCE,nodevolts,,,,,35.387067,-119.000517,,
line14to11,overhead_line,,,,,node_14,load_11,,35.387067,-119.000942,250.0,
load_11,load,PQ,HASSOURCE,area_A,,,,,35.387067,-119.001367,,
meter_25,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
meter_26,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
meter_27,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
meter_28,triplex_meter,PQ,,load_11,node_11A,,,0.0,35.387067,-119.001367,,
node_11A,triplex_node,PQ,,,,,,,,,,
line14to10,overhead_line,,,,,node_14,load_10,,35.386725,-119.000517,250.0,
load_10,load,PQ,HASSOURCE,area_A,,,,,35.386383,-119.000517,,
meter_23,triplex_meter,PQ,,load_10,node_10A,,,0.0,35.386383,-119.000517,,
meter_24,triplex_meter,PQ,,load_10,node_10A,,,0.0,35.386383,-119.000517,,
node_10A,triplex_node,PQ,,,,,,,,,,
node_9A,triplex_node,PQ,,,,,,,,,,
line8to13,overhead_line,,,,,node_8,node_13,,35.385283,-119.000017,300.0,
node_13,node,PQ,HASSOURCE,nodevolts,,,,,35.385283,-118.999517,,
line13to34,overhead_line,,,,,node_13,load_34,,35.385075,-118.999517,150.0,
load_34,load,PQ,HASSOURCE,area_A,,,,,35.384867,-118.999517,,
meter_73,triplex_meter,PQ,,load_34,node_34C,,,0.0,35.384867,-118.999517,,
meter_74,triplex_meter,PQ,,load_34,node_34C,,,0.0,35.384867,-118.999517,,
meter_75,triplex_meter,PQ,,load_34,node_34C,,,0.0,35.384867,-118.999517,,
meter_76,triplex_meter,PQ,,load_34,node_34C,,,0.0,35.384867,-118.999517,,
line34to15,overhead_line,,,,,load_34,node_15,,35.384733,-118.999517,100.0,
node_15,node,PQ,HASSOURCE,nodevolts,,,,,35.384600,-118.999517,,
line15to16,overhead_line,,,,,node_15,load_16,,35.384083,-118.999517,375.0,
load_16,load,PQ,HASSOURCE,area_A,,,,,35.383567,-118.999517,,
meter_31,triplex_meter,PQ,,load_16,node_16C,,,0.0,35.383567,-118.999517,,
meter_32,triplex_meter,PQ,,load_16,node_16C,,,0.0,35.383567,-118.999517,,
meter_33,triplex_meter,PQ,,load_16,node_16C,,,0.0,35.383567,-118.999517,,
meter_34,triplex_meter,PQ,,load_16,node_16C,,,0.0,35.383567,-118.999517,,
node_16C,triplex_node,PQ,,,,,,,,,,
line15to17,overhead_line,,,,,node_15,load_17,,35.384600,-118.998925,350.0,
load_17,load,PQ,HASSOURCE,area_A,,,,,35.384600,-118.998333,,
meter_35,triplex_meter,PQ,,load_17,node_17C,,,0.0,35.384600,-118.998333,,
meter_36,triplex_meter,PQ,,load_17,node_17C,,,0.0,35.384600,-118.998333,,
node_17C,triplex_node,PQ,,,,,,,,,,
node_34C,triplex_node,PQ,,,,,,,,,,
line13to18,overhead_line,,,,,node_13,node_18,,35.386417,-118.999517,825.0,
node_18,node,PQ,HASSOURCE,nodevolts,,,,,35.387550,-118.999517,,
line18to19,overhead_line,,,,,node_18,load_19,,35.387550,-118.999092,250.0,
load_19,load,PQ,HASSOURCE,area_A,,,,,35.387550,-118.998667,,
meter_37,triplex_meter,PQ,,load_19,node_19A,,,0.0,35.387550,-118.998667,,
meter_38,triplex_meter,PQ,,load_19,node_19A,,,0.0,35.387550,-118.998667,,
meter_39,triplex_meter,PQ,,load_19,node_19A,,,0.0,35.387550,-118.998667,,
meter_40,triplex_meter,PQ,,load_19,node_19A,,,0.0,35.387550,-118.998667,,
line19to20,overhead_line,,,,,load_19,load_20,,35.387100,-118.998667,325.0,
load_20,load,PQ,HASSOURCE,area_A,,,,,35.386650,-118.998667,,
meter_41,triplex_meter,PQ,,load_20,node_20A,,,0.0,35.386650,-118.998667,,
meter_42,triplex_meter,PQ,,load_20,node_20A,,,0.0,35.386650,-118.998667,,
meter_43,triplex_meter,PQ,,load_20,node_20A,,,0.0,35.386650,-118.998667,,
meter_44,triplex_meter,PQ,,load_20,node_20A,,,0.0,35.386650,-118.998667,,
node_20A,triplex_node,PQ,,,,,,,,,,
node_19A,triplex_node,PQ,,,,,,,,,,
line18to21,overhead_line,,,,,node_18,node_21,,35.387958,-118.999517,300.0,
node_21,node,PQ,HASSOURCE,nodevolts,,,,,35.388367,-118.999517,,
line21to22,overhead_line,,,,,node_21,load_22,,35.388367,-119.000392,525.0,
load_22,load,PQ,HASSOURCE,area_A,,,,,35.388367,-119.001267,,
meter_45,triplex_meter,PQ,,load_22,node_22B,,,0.0,35.388367,-119.001267,,
meter_46,triplex_meter,PQ,,load_22,node_22B,,,0.0,35.388367,-119.001267,,
meter_47,triplex_meter,PQ,,load_22,node_22B,,,0.0,35.388367,-119.001267,,
meter_48,triplex_meter,PQ,,load_22,node_22B,,,0.0,35.388367,-119.001267,,
node_22B,triplex_node,PQ,,,,,,,,,,
line21to23,overhead_line,,,,,node_21,node_23,,35.388708,-118.999517,250.0,
node_23,node,PQ,HASSOURCE,nodevolts,,,,,35.389050,-118.999517,,
line23to24,overhead_line,,,,,node_23,load_24,,35.389050,-119.000442,550.0,
load_24,load,PQ,HASSOURCE,area_A,,,,,35.389050,-119.001367,,
meter_49,triplex_meter,PQ,,load_24,node_24C,,,0.0,35.389050,-119.001367,,
meter_50,triplex_meter,PQ,,load_24,node_24C,,,0.0,35.389050,-119.001367,,
meter_51,triplex_meter,PQ,,load_24,node_24C,,,0.0,35.389050,-119.001367,,
meter_52,triplex_meter,PQ,,load_24,node_24C,,,0.0,35.389050,-119.001367,,
node_24C,triplex_node,PQ,,,,,,,,,,
line23to25,overhead_line,,,,,node_23,node_25,,35.389425,-118.999517,275.0,
node_25,node,PQ,HASSOURCE,nodevolts,,,,,35.389800,-118.999517,,
line25to28,overhead_line,,,,,node_25,load_28,,35.390075,-118.999517,200.0,
load_28,load,PQ,HASSOURCE,area_A,,,,,35.390350,-118.999517,,
meter_53,triplex_meter,PQ,,load_28,node_28A,,,0.0,35.390350,-118.999517,,
meter_54,triplex_meter,PQ,,load_28,node_28A,,,0.0,35.390350,-118.999517,,
meter_55,triplex_meter,PQ,,load_28,node_28A,,,0.0,35.390350,-118.999517,,
meter_56,triplex_meter,PQ,,load_28,node_28A,,,0.0,35.390350,-118.999517,,
line28to29,overhead_line,,,,,load_28,load_29,,35.390767,-118.999517,300.0,
load_29,load,PQ,HASSOURCE,area_A,,,,,35.391183,-118.999517,,
meter_57,triplex_meter,PQ,,load_29,node_29A,,,0.0,35.391183,-118.999517,,
meter_58,triplex_meter,PQ,,load_29,node_29A,,,0.0,35.391183,-118.999517,,
meter_59,triplex_meter,PQ,,load_29,node_29A,,,0.0,35.391183,-118.999517,,
meter_60,triplex_meter,PQ,,load_29,node_29A,,,0.0,35.391183,-118.999517,,
line29to30,overhead_line,,,,,load_29,load_30,,35.391183,-118.998925,350.0,
load_30,load,PQ,HASSOURCE,area_A,,,,,35.391183,-118.998333,,
meter_61,triplex_meter,PQ,,load_30,node_30C,,,0.0,35.391183,-118.998333,,
meter_62,triplex_meter,PQ,,load_30,node_30C,,,0.0,35.391183,-118.998333,,
meter_63,triplex_meter,PQ,,load_30,node_30C,,,0.0,35.391183,-118.998333,,
meter_64,triplex_meter,PQ,,load_30,node_30C,,,0.0,35.391183,-118.998333,,
line30to250,overhead_line,,,,,load_30,node_250,,35.391183,-118.998000,200.0,
node_250,node,PQ,HASSOURCE,nodevolts,,,,,35.391183,-118.997667,,
node_251,node,SWING,HASSOURCE,nodevolts,,,,,,,,
node_30C,triplex_node,PQ,,,,,,,,,,
node_29A,triplex_node,PQ,,,,,,,,,,
node_28A,triplex_node,PQ,,,,,,,,,,
node_2501,node,PQ,HASSOURCE,nodevolts,,,,,35.389800,-118.999517,,
line2501to26,overhead_line,,,,,node_2501,node_26,,35.389800,-119.000100,350.0,
node_26,node,PQ,HASSOURCE,nodevolts,,,,,35.389800,-119.000683,,
line26to27,overhead_line,,,,,node_26,node_27,,35.389800,-119.001150,275.0,
node_27,node,PQ,HASSOURCE,nodevolts,,,,,35.389800,-119.001617,,
line27to33,overhead_line,,,,,node_27,load_33,,35.390492,-119.001617,500.0,
load_33,load,PQ,HASSOURCE,area_A,,,,,35.391183,-119.001617,,
meter_69,triplex_meter,PQ,,load_33,node_33A,,,0.0,35.391183,-119.001617,,
meter_70,triplex_meter,PQ,,load_33,node_33A,,,0.0,35.391183,-119.001617,,
meter_71,triplex_meter,PQ,,load_33,node_33A,,,0.0,35.391183,-119.001617,,
meter_72,triplex_meter,PQ,,load_33,node_33A,,,0.0,35.391183,-119.001617,,
node_33A,triplex_node,PQ,,,,,,,,,,
line26to31,overhead_line,,,,,node_26,load_31,,35.390108,-119.000683,225.0,
load_31,load,PQ,HASSOURCE,area_A,,,,,35.390417,-119.000683,,
meter_65,triplex_meter,PQ,,load_31,node_31C,,,0.0,35.390417,-119.000683,,
meter_66,triplex_meter,PQ,,load_31,node_31C,,,0.0,35.390417,-119.000683,,
line31to32,overhead_line,,,,,load_31,load_32,,35.390833,-119.000683,300.0,
load_32,load,PQ,HASSOURCE,area_A,,,,,35.391250,-119.000683,,
meter_67,triplex_meter,PQ,,load_32,node_32C,,,0.0,35.391250,-119.000683,,
meter_68,triplex_meter,PQ,,load_32,node_32C,,,0.0,35.391250,-119.000683,,
node_32C,triplex_node,PQ,,,,,,,,,,
node_31C,triplex_node,PQ,,,,,,,,,,
node_135,node,PQ,HASSOURCE,nodevolts,,,,,35.387550,-118.999517,,
line135to35,overhead_line,,,,,node_135,load_35,,35.387550,-118.998883,375.0,
load_35,load,PQ,HASSOURCE,area_B,,,,,35.387550,-118.998250,,
meter_77,triplex_meter,PQ,,load_35,node_35A,,,0.0,35.387550,-118.998250,,
meter_78,triplex_meter,PQ,,load_35,node_35A,,,0.0,35.387550,-118.998250,,
meter_79,triplex_meter,PQ,,load_35,node_35A,,,0.0,35.387550,-118.998250,,
meter_80,triplex_meter,PQ,,load_35,node_35A,,,0.0,35.387550,-118.998250,,
line35to36,overhead_line,,,,,load_35,node_36,,35.386658,-118.998250,650.0,
node_36,node,PQ,HASSOURCE,nodevolts,,,,,35.385767,-118.998250,,
line36to37,overhead_line,,,,,node_36,load_37,,35.385767,-118.998750,300.0,
load_37,load,PQ,HASSOURCE,area_B,,,,,35.385767,-118.999250,,
meter_81,triplex_meter,PQ,,load_37,node_37A,,,0.0,35.385767,-118.999250,,
meter_82,triplex_meter,PQ,,load_37,node_37A,,,0.0,35.385767,-118.999250,,
meter_83,triplex_meter,PQ,,load_37,node_37A,,,0.0,35.385767,-118.999250,,
meter_84,triplex_meter,PQ,,load_37,node_37A,,,0.0,35.385767,-118.999250,,
node_37A,triplex_node,PQ,,,,,,,,,,
line36to38,overhead_line,,,,,node_36,load_38,,35.385767,-118.997825,250.0,
load_38,load,PQ,HASSOURCE,area_B,,,,,35.385767,-118.997400,,
meter_85,triplex_meter,PQ,,load_38,node_38B,,,0.0,35.385767,-118.997400,,
meter_86,triplex_meter,PQ,,load_38,node_38B,,,0.0,35.385767,-118.997400,,
line38to39,overhead_line,,,,,load_38,load_39,,35.385317,-118.997400,325.0,
load_39,load,PQ,HASSOURCE,area_B,,,,,35.384867,-118.997400,,
meter_87,triplex_meter,PQ,,load_39,node_39B,,,0.0,35.384867,-118.997400,,
meter_88,triplex_meter,PQ,,load_39,node_39B,,,0.0,35.384867,-118.997400,,
node_39B,triplex_node,PQ,,,,,,,,,,
node_38B,triplex_node,PQ,,,,,,,,,,
line35to40,overhead_line,,,,,load_35,node_40,,35.387892,-118.998250,250.0,
node_40,node,PQ,HASSOURCE,nodevolts,,,,,35.388233,-118.998250,,
line40to41,overhead_line,,,,,node_40,load_41,,35.388233,-118.997700,325.0,
load_41,load,PQ,HASSOURCE,area_B,,,,,35.388233,-118.997150,,
meter_89,triplex_meter,PQ,,load_41,node_41C,,,0.0,35.388233,-118.997150,,
meter_90,triplex_meter,PQ,,load_41,node_41C,,,0.0,35.388233,-118.997150,,
node_41C,triplex_node,PQ,,,,,,,,,,
line40to42,overhead_line,,,,,node_40,load_42,,35.388575,-118.998250,250.0,
load_42,load,PQ,HASSOURCE,area_B,,,,,35.388917,-118.998250,,
meter_91,triplex_meter,PQ,,load_42,node_42A,,,0.0,35.388917,-118.998250,,
meter_92,triplex_meter,PQ,,load_42,node_42A,,,0.0,35.388917,-118.998250,,
line42to43,overhead_line,,,,,load_42,load_43,,35.388917,-118.997408,500.0,
load_43,load,PQ,HASSOURCE,area_B,,,,,35.388917,-118.996567,,
meter_93,triplex_meter,PQ,,load_43,node_43B,,,0.0,35.388917,-118.996567,,
meter_94,triplex_meter,PQ,,load_43,node_43B,,,0.0,35.388917,-118.996567,,
meter_95,triplex_meter,PQ,,load_43,node_43B,,,0.0,35.388917,-118.996567,,
meter_96,triplex_meter,PQ,,load_43,node_43B,,,0.0,35.388917,-118.996567,,
node_43B,triplex_node,PQ,,,,,,,,,,
line42to44,overhead_line,,,,,load_42,node_44,,35.389192,-118.998250,200.0,
node_44,node,PQ,HASSOURCE,nodevolts,,,,,35.389467,-118.998250,,
line44to45,overhead_line,,,,,node_44,load_45,,35.389467,-118.997917,200.0,
load_45,load,PQ,HASSOURCE,area_B,,,,,35.389467,-118.997583,,
meter_97,triplex_meter,PQ,,load_45,node_45A,,,0.0,35.389467,-118.997583,,
meter_98,triplex_meter,PQ,,load_45,node_45A,,,0.0,35.389467,-118.997583,,
line45to46,overhead_line,,,,,load_45,load_46,,35.389467,-118.997075,300.0,
load_46,load,PQ,HASSOURCE,area_B,,,,,35.389467,-118.996567,,
meter_99,triplex_meter,PQ,,load_46,node_46A,,,0.0,35.389467,-118.996567,,
meter_100,triplex_meter,PQ,,load_46,node_46A,,,0.0,35.389467,-118.996567,,
node_46A,triplex_node,PQ,,,,,,,,,,
node_45A,triplex_node,PQ,,,,,,,,,,
line44to47,overhead_line,,,,,node_44,load_47,,35.389808,-118.998250,250.0,
load_47,load,PQ,HASSOURCE,area_B,,,,,35.390150,-118.998250,,
meter_101,triplex_meter,PQ,,load_47,node_47A,,,0.0,35.390150,-118.998250,,
meter_102,triplex_meter,PQ,,load_47,node_47A,,,0.0,35.390150,-118.998250,,
meter_103,triplex_meter,PQ,,load_47,node_47A,,,0.0,35.390150,-118.998250,,
meter_104,triplex_meter,PQ,,load_47,node_47B,,,0.0,35.390150,-118.998250,,
meter_105,triplex_meter,PQ,,load_47,node_47B,,,0.0,35.390150,-118.998250,,
meter_106,triplex_meter,PQ,,load_47,node_47B,,,0.0,35.390150,-118.998250,,
meter_107,triplex_meter,PQ,,load_47,node_47C,,,0.0,35.390150,-118.998250,,
meter_108,triplex_meter,PQ,,load_47,node_47C,,,0.0,35.390150,-118.998250,,
meter_109,triplex_meter,PQ,,load_47,node_47C,,,0.0,35.390150,-118.998250,,
line47to48,overhead_line,,,,,load_47,load_48,,35.390150,-118.998500,150.0,
load_48,load,PQ,HASSOURCE,area_B,,,,,35.390150,-118.998750,,
meter_110,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_111,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_112,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_113,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_114,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_115,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_116,triplex_meter,PQ,,load_48,node_48A,,,0.0,35.390150,-118.998750,,
meter_117,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_118,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_119,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_120,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_121,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_122,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_123,triplex_meter,PQ,,load_48,node_48B,,,0.0,35.390150,-118.998750,,
meter_124,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
meter_125,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
meter_126,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
meter_127,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
meter_128,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
meter_129,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
meter_130,triplex_meter,PQ,,load_48,node_48C,,,0.0,35.390150,-118.998750,,
node_48A,triplex_node,PQ,,,,,,,,,,
node_48B,triplex_node,PQ,,,,,,,,,,
node_48C,triplex_node,PQ,,,,,,,,,,
line47to49,overhead_line,,,,,load_47,load_49,,35.390150,-118.997825,250.0,
load_49,load,PQ,HASSOURCE,area_B,,,,,35.390150,-118.997400,,
meter_131,triplex_meter,PQ,,load_49,node_49A,,,0.0,35.390150,-118.997400,,
meter_132,triplex_meter,PQ,,load_49,node_49A,,,0.0,35.390150,-118.997400,,
meter_133,triplex_meter,PQ,,load_49,node_49A,,,0.0,35.390150,-118.997400,,
meter_134,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_135,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_136,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_137,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_138,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_139,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_140,triplex_meter,PQ,,load_49,node_49B,,,0.0,35.390150,-118.997400,,
meter_141,triplex_meter,PQ,,load_49,node_49C,,,0.0,35.390150,-118.997400,,
meter_142,triplex_meter,PQ,,load_49,node_49C,,,0.0,35.390150,-118.997400,,
meter_143,triplex_meter,PQ,,load_49,node_49C,,,0.0,35.390150,-118.997400,,
line49to50,overhead_line,,,,,load_49,load_50,,35.390150,-118.996983,250.0,
load_50,load,PQ,HASSOURCE,area_B,,,,,35.390150,-118.996567,,
meter_144,triplex_meter,PQ,,load_50,node_50C,,,0.0,35.390150,-118.996567,,
meter_145,triplex_meter,PQ,,load_50,node_50C,,,0.0,35.390150,-118.996567,,
meter_146,triplex_meter,PQ,,load_50,node_50C,,,0.0,35.390150,-118.996567,,
meter_147,triplex_meter,PQ,,load_50,node_50C,,,0.0,35.390150,-118.996567,,
line50to51,overhead_line,,,,,load_50,load_51,,35.390150,-118.996150,250.0,
load_51,load,PQ,HASSOURCE,area_B,,,,,35.390150,-118.995733,,
meter_148,triplex_meter,PQ,,load_51,node_51A,,,0.0,35.390150,-118.995733,,
meter_149,triplex_meter,PQ,,load_51,node_51A,,,0.0,35.390150,-118.995733,,
line51to151,overhead_line,,,,,load_51,node_151,,35.390150,-118.994892,500.0,
node_151,node,PQ,HASSOURCE,nodevolts,,,,,35.390150,-118.994050,,
node_300,node,PQ,HASSOURCE,nodevolts,,,,,35.390150,-118.994050,,
node_350,node,SWING,HASSOURCE,nodevolts,,,,,,,,
node_51A,triplex_node,PQ,,,,,,,,,,
node_50C,triplex_node,PQ,,,,,,,,,,
node_49A,triplex_node,PQ,,,,,,,,,,
node_49B,triplex_node,PQ,,,,,,,,,,
node_49C,triplex_node,PQ,,,,,,,,,,
node_47A,triplex_node,PQ,,,,,,,,,,
node_47B,triplex_node,PQ,,,,,,,,,,
node_47C,triplex_node,PQ,,,,,,,,,,
node_42A,triplex_node,PQ,,,,,,,,,,
node_35A,triplex_node,PQ,,,,,,,,,,
node_152,node,PQ,HASSOURCE,nodevolts,,,,,35.385283,-118.999517,,
line152to52,overhead_line,,,,,node_152,load_52,,35.385283,-118.998842,400.0,
load_52,load,PQ,HASSOURCE,area_C,,,,,35.385283,-118.998167,,
meter_150,triplex_meter,PQ,,load_52,node_52A,,,0.0,35.385283,-118.998167,,
meter_151,triplex_meter,PQ,,load_52,node_52A,,,0.0,35.385283,-118.998167,,
meter_152,triplex_meter,PQ,,load_52,node_52A,,,0.0,35.385283,-118.998167,,
meter_153,triplex_meter,PQ,,load_52,node_52A,,,0.0,35.385283,-118.998167,,
line52to53,overhead_line,,,,,load_52,load_53,,35.385283,-118.997833,200.0,
load_53,load,PQ,HASSOURCE,area_C,,,,,35.385283,-118.997500,,
meter_154,triplex_meter,PQ,,load_53,node_53A,,,0.0,35.385283,-118.997500,,
meter_155,triplex_meter,PQ,,load_53,node_53A,,,0.0,35.385283,-118.997500,,
meter_156,triplex_meter,PQ,,load_53,node_53A,,,0.0,35.385283,-118.997500,,
meter_157,triplex_meter,PQ,,load_53,node_53A,,,0.0,35.385283,-118.997500,,
line53to54,overhead_line,,,,,load_53,node_54,,35.385283,-118.997283,125.0,
node_54,node,PQ,HASSOURCE,nodevolts,,,,,35.385283,-118.997067,,
line54to55,overhead_line,,,,,node_54,load_55,,35.385183,-118.996625,275.0,
load_55,load,PQ,HASSOURCE,area_C,,,,,35.385083,-118.996183,,
meter_158,triplex_meter,PQ,,load_55,node_55A,,,0.0,35.385083,-118.996183,,
meter_159,triplex_meter,PQ,,load_55,node_55A,,,0.0,35.385083,-118.996183,,
line55to56,overhead_line,,,,,load_55,load_56,,35.384975,-118.995742,275.0,
load_56,load,PQ,HASSOURCE,area_C,,,,,35.384867,-118.995300,,
meter_160,triplex_meter,PQ,,load_56,node_56B,,,0.0,35.384867,-118.995300,,
meter_161,triplex_meter,PQ,,load_56,node_56B,,,0.0,35.384867,-118.995300,,
node_56B,triplex_node,PQ,,,,,,,,,,
